MenuID,RestaurantID,ItemName,Description,Price,Category,CuisineType,IsVegetarian,IsAvailable
29,2,Chef Special Special,Vero nesciunt consectetur beatae perferendis libero quo error explicabo.,70.57,Bread,Street Food,False,True
30,2,House Special Royal,Nulla consequuntur repellendus ducimus aspernatur dolores at.,176.38,Soup,Street Food,False,True
31,2,Chef Special Special,Dolore enim dolores explicabo repellendus reiciendis tempore.,101.7,Dessert,Street Food,False,True
32,2,Special Dish Deluxe,Velit voluptate ullam rerum aperiam eaque quisquam sapiente ad voluptatem esse.,142.49,Dessert,Street Food,False,True
33,2,House Special Royal,Nisi unde ex harum necessitatibus ratione impedit.,234.41,Main Course,Street Food,True,True
34,2,Special Dish Deluxe,Tempore quaerat nemo eveniet autem quisquam veniam illo quo repudiandae similique esse tempora.,104.73,Dessert,Street Food,True,True
35,2,Special Dish Royal,Quae quibusdam modi esse nemo maiores corporis laborum et.,70.25,Bread,Street Food,False,True
36,2,Special Dish,Soluta commodi architecto quos soluta quos repellendus quas vero.,173.43,Dessert,Street Food,False,True
37,2,House Special Royal,Quis aliquam nulla dolorum vel nihil aliquam inventore culpa exercitationem ea quia optio.,184.15,Appetizer,Street Food,True,True
38,2,House Special,Nihil itaque molestias eius praesentium expedita consectetur tempore ducimus nulla.,98.77,Appetizer,Street Food,True,True
39,2,Special Dish Deluxe,Perferendis provident officia dolorem vitae corrupti.,93.36,Dessert,Street Food,False,True
40,2,Special Dish Royal,Nam voluptate esse veritatis aperiam optio officiis sed sint corporis suscipit autem.,20.69,Bread,Street Food,True,True
41,2,House Special Classic,Cupiditate veritatis debitis reprehenderit quod esse.,86.25,Beverage,Street Food,False,True
42,2,Chef Special Deluxe,Omnis debitis aut nobis voluptatibus laboriosam eaque cupiditate inventore earum alias quasi voluptatibus.,248.71,Salad,Street Food,False,True
43,2,Chef Special Special,Vel sit sint itaque odit commodi quaerat ratione iusto eum.,205.1,Appetizer,Street Food,False,True
44,2,Chef Special Classic,Laudantium repellat exercitationem aut officiis placeat repudiandae dolores excepturi necessitatibus atque molestiae rerum.,100.39,Salad,Street Food,False,True
45,2,Chef Special Deluxe,Impedit dolore cum sunt corporis voluptate repudiandae magni error quaerat a tenetur unde.,106.38,Beverage,Street Food,True,True
46,2,Special Dish Deluxe,Optio voluptas quod repellat adipisci cum fugiat natus assumenda.,63.83,Beverage,Street Food,False,True
47,2,Chef Special Classic,Ratione quo autem aut officiis enim error non fugit magni eos.,70.6,Appetizer,Street Food,False,True
48,2,Special Dish Special,Quam velit quibusdam fugiat voluptatem earum ab consequatur quae aliquid quaerat.,548.72,Main Course,Street Food,True,True
49,2,House Special Classic,Porro magni repellat voluptates eos unde consequuntur voluptatem quos alias maxime.,159.58,Soup,Street Food,False,True
50,2,House Special Classic,Aliquid corrupti eos excepturi facilis expedita.,43.1,Beverage,Street Food,True,True
51,2,House Special Special,Vel quas reprehenderit assumenda sint at ullam.,171.85,Appetizer,Street Food,True,True
52,2,House Special,Saepe nisi totam rem doloribus molestiae qui.,83.32,Soup,Street Food,False,True
53,3,House Special Special,Expedita libero modi harum voluptatem cupiditate neque eligendi ducimus perspiciatis aut error iusto.,301.33,Main Course,Rajasthani,True,False
54,3,House Special Deluxe,Officia earum reiciendis perspiciatis dolor aliquam impedit rem suscipit.,27.4,Bread,Rajasthani,True,False
55,3,House Special,Ipsam aut quaerat mollitia voluptatum quis neque ducimus praesentium.,137.39,Soup,Rajasthani,True,True
56,3,Special Dish,Eum recusandae libero explicabo magnam neque magnam asperiores reiciendis laudantium ducimus laborum ex.,43.48,Bread,Rajasthani,True,True
57,3,Special Dish Deluxe,Officiis tempore ab culpa beatae facere accusamus.,195.29,Dessert,Rajasthani,True,True
58,3,Special Dish Royal,Eligendi neque consequuntur incidunt mollitia et eveniet veritatis.,63.72,Bread,Rajasthani,False,True
59,3,Special Dish Special,Alias commodi eos expedita reiciendis tempora corrupti ab totam dolorum quia voluptate cupiditate.,50.91,Beverage,Rajasthani,False,True
60,3,Special Dish,Alias necessitatibus mollitia reprehenderit adipisci delectus est debitis quia itaque voluptatibus aspernatur.,206.18,Salad,Rajasthani,False,True
61,3,House Special,Laudantium quas pariatur delectus quod perspiciatis explicabo eligendi.,81.05,Soup,Rajasthani,True,True
62,3,House Special,Perferendis officiis amet dolorum eos illo eos accusamus occaecati dolor ipsa pariatur.,103.08,Soup,Rajasthani,False,True
63,3,Chef Special Deluxe,Dolores dolorem harum debitis eveniet praesentium nisi.,100.64,Salad,Rajasthani,False,True
64,3,House Special Deluxe,Maxime porro sapiente aspernatur est quis provident ea ducimus.,366.01,Main Course,Rajasthani,False,True
65,3,Chef Special Special,Commodi harum hic culpa doloribus rerum nemo.,122.58,Beverage,Rajasthani,False,True
66,3,Special Dish Deluxe,Accusamus illo eos quo maiores soluta commodi nulla tempore reiciendis accusantium.,110.85,Appetizer,Rajasthani,True,True
67,3,Special Dish Special,Et placeat ducimus saepe suscipit fuga reiciendis vero.,25.21,Bread,Rajasthani,False,True
68,3,Chef Special,Reprehenderit magnam neque totam adipisci eaque tempora non odit accusantium.,62.39,Bread,Rajasthani,True,True
69,3,Chef Special Royal,Odit ut quae incidunt eveniet animi ducimus iusto molestiae iste.,92.0,Dessert,Rajasthani,False,True
70,3,House Special Deluxe,Blanditiis adipisci voluptatum repellendus iure eaque voluptatibus ad.,99.22,Soup,Rajasthani,False,True
71,3,House Special Deluxe,Minima fugiat cum deserunt fuga reiciendis quo at vel iste assumenda.,73.6,Bread,Rajasthani,False,True
72,3,House Special Royal,Architecto dolorem itaque provident tempore quod ex numquam.,152.17,Main Course,Rajasthani,True,True
73,4,Special Dish,Nisi non maiores tempore rerum delectus non tempore ea at numquam necessitatibus eaque.,55.44,Bread,Rajasthani,True,True
74,4,House Special,Saepe blanditiis excepturi dolor necessitatibus et corporis fugit.,61.06,Beverage,Rajasthani,False,False
75,4,House Special Royal,Impedit architecto deserunt expedita unde tenetur delectus iusto error eius sit.,126.48,Soup,Rajasthani,False,True
76,4,House Special Classic,At asperiores exercitationem minus iusto voluptatibus odit alias eos.,94.89,Appetizer,Rajasthani,False,True
77,4,Chef Special,Et nihil iusto quo molestias sequi deleniti natus.,159.9,Soup,Rajasthani,False,True
78,4,Chef Special Special,Ducimus voluptates neque repellat pariatur quia molestiae fuga suscipit explicabo quae corporis deserunt.,226.41,Salad,Rajasthani,False,False
79,4,Special Dish Special,Quae iure laboriosam necessitatibus alias expedita rerum at beatae fugit odio veniam suscipit.,251.61,Main Course,Rajasthani,False,True
80,4,House Special Royal,Impedit incidunt aperiam nulla commodi optio aliquid similique aliquam nostrum.,113.33,Soup,Rajasthani,False,True
81,4,House Special Deluxe,Distinctio quis eligendi assumenda consectetur laudantium repudiandae minus eligendi.,157.95,Soup,Rajasthani,False,True
82,4,Chef Special Deluxe,Sit eligendi minima enim hic odio.,150.4,Dessert,Rajasthani,False,False
83,4,Special Dish Deluxe,Unde veritatis ea neque omnis voluptatum.,134.14,Soup,Rajasthani,False,True
84,4,House Special Classic,Tempora quo labore enim ipsa dolore aut sint laboriosam pariatur quaerat tenetur aspernatur.,82.44,Appetizer,Rajasthani,True,True
85,4,Chef Special Classic,Eligendi consequatur et et veniam culpa a.,69.06,Bread,Rajasthani,False,True
86,4,Special Dish Deluxe,Saepe consequuntur commodi nisi debitis culpa amet officiis.,42.9,Beverage,Rajasthani,False,True
87,4,House Special Classic,Earum accusantium commodi maiores quasi neque porro saepe officia.,135.73,Beverage,Rajasthani,False,True
88,4,Chef Special Classic,Quas numquam architecto sunt perferendis assumenda delectus dolorum laudantium fuga dolor dolore.,162.75,Salad,Rajasthani,False,True
89,4,Chef Special Royal,Ipsam cum explicabo ab provident nemo aliquam assumenda voluptate nesciunt consequuntur.,29.1,Bread,Rajasthani,False,True
90,4,Special Dish Classic,Maxime quisquam tempore dolorum sunt expedita libero rerum fugit accusamus corrupti officiis.,50.41,Bread,Rajasthani,False,True
91,4,Special Dish,Reiciendis maxime temporibus est ex animi nihil accusantium.,52.08,Appetizer,Rajasthani,False,True
92,4,Chef Special Classic,Maxime architecto incidunt atque ab magni porro amet iure ut.,119.0,Beverage,Rajasthani,True,True
93,4,Chef Special,Quis debitis corporis optio repudiandae laborum possimus nulla a adipisci.,117.47,Beverage,Rajasthani,True,True
94,4,House Special Deluxe,Animi eius ut beatae ab aliquid accusamus sequi minima sunt voluptas alias.,132.77,Salad,Rajasthani,True,True
95,4,Chef Special Royal,Quae porro vel magni placeat ipsam.,83.38,Soup,Rajasthani,False,True
96,4,House Special,Sit magnam explicabo in provident excepturi.,74.95,Beverage,Rajasthani,True,False
97,4,Special Dish,Voluptas nesciunt in maiores unde vero laboriosam.,184.75,Salad,Rajasthani,False,True
98,4,Special Dish Royal,Reprehenderit quas maxime numquam esse sed delectus eveniet excepturi nihil id culpa sit.,86.21,Beverage,Rajasthani,True,False
99,4,House Special Deluxe,Dignissimos veniam odit nisi sed nulla perspiciatis nemo in tenetur aliquid.,147.01,Soup,Rajasthani,True,True
100,4,Special Dish Classic,Molestias iste a assumenda veniam quaerat rerum hic accusamus quod.,44.78,Beverage,Rajasthani,False,True
101,5,Dosa Royal,Quia saepe dicta ipsum repellendus perferendis et non id velit voluptate.,180.95,Salad,South Indian,True,True
102,5,Idli Special,Laboriosam ipsa sint laborum vitae pariatur amet qui eos nesciunt eos dolor.,236.67,Main Course,South Indian,True,True
103,5,Idli Special,Dolorum in nam optio laborum consequatur repellat ex.,141.68,Soup,South Indian,True,True
104,5,Uttapam Deluxe,Ullam quae est eius officiis id fuga doloremque.,174.5,Dessert,South Indian,True,True
105,5,Vada Special,Molestias in placeat suscipit sint non ipsa illum.,60.8,Bread,South Indian,True,True
106,5,Vada Special,Veniam voluptas mollitia officiis illo dolores blanditiis odio molestias ratione autem neque.,31.44,Bread,South Indian,False,True
107,5,Vada Special,Excepturi inventore quaerat nulla dolores quis laborum in iure excepturi consequatur porro.,101.85,Beverage,South Indian,True,True
108,5,Vada Special,Aperiam suscipit omnis numquam id quis.,48.94,Bread,South Indian,True,True
109,5,Uttapam Classic,Error neque perferendis velit sit quaerat sit nobis a laborum itaque dignissimos quo.,105.38,Soup,South Indian,False,True
110,5,Uttapam Classic,Dolorem possimus eaque ipsum provident reprehenderit.,34.72,Bread,South Indian,True,True
111,5,Sambar Deluxe,Officia consequuntur illum consectetur atque a.,138.39,Salad,South Indian,False,True
112,5,Idli,Reprehenderit et quis quod quisquam aperiam placeat ut modi quisquam sint aut mollitia.,176.26,Dessert,South Indian,False,True
113,5,Uttapam Classic,Praesentium quos totam autem a ipsam ut ducimus distinctio unde aperiam veritatis sunt.,146.47,Beverage,South Indian,False,True
114,5,Dosa Royal,Iure tempore natus consequatur nemo quos tempora fuga pariatur.,135.71,Soup,South Indian,False,True
115,5,Coconut Chutney Royal,Tempora voluptatem aut velit placeat molestiae corrupti mollitia cupiditate delectus.,52.66,Bread,South Indian,True,True
116,5,Dosa Special,Voluptate fuga quo sequi commodi ab autem.,474.95,Main Course,South Indian,True,True
117,5,Idli Deluxe,Ea in ratione maiores consequuntur amet libero mollitia alias quam beatae illum quaerat.,233.41,Appetizer,South Indian,True,True
118,5,Coconut Chutney Classic,Repellendus placeat neque enim at consequuntur culpa sint sed eum veniam quas.,53.61,Bread,South Indian,False,True
119,5,Sambar Special,Accusamus ex nisi a deleniti quasi enim incidunt.,52.4,Bread,South Indian,False,True
120,5,Uttapam Special,Laudantium consectetur commodi exercitationem tempora cupiditate praesentium in aliquam deserunt veniam.,75.18,Bread,South Indian,False,True
121,5,Coconut Chutney Deluxe,Id iusto earum itaque rem rerum numquam.,105.16,Soup,South Indian,True,True
122,5,Vada Royal,Harum quibusdam expedita nostrum laboriosam cum commodi minima suscipit mollitia incidunt dolore.,30.42,Bread,South Indian,True,True
123,5,Sambar Royal,Debitis totam cum ratione modi provident asperiores doloribus soluta illo.,146.46,Salad,South Indian,True,True
124,5,Idli Special,Molestias dolor necessitatibus dignissimos expedita quia consectetur incidunt perferendis repudiandae voluptatum quis ex.,202.05,Appetizer,South Indian,True,True
125,5,Dosa Classic,Molestias dicta reprehenderit neque dicta magnam vitae.,65.72,Appetizer,South Indian,True,True
126,6,House Special Classic,Quidem praesentium error dolore vitae in ad impedit autem sit quam dolorum.,112.17,Beverage,Bakery,True,True
127,6,Chef Special Special,Facilis sequi enim expedita nobis dolor fugit ipsam impedit consectetur quis suscipit vitae.,478.78,Main Course,Bakery,True,True
128,6,House Special Classic,Neque tempora deserunt qui saepe autem necessitatibus veniam libero hic exercitationem assumenda.,144.63,Salad,Bakery,False,True
129,6,House Special,Minima provident itaque molestias veniam quia repudiandae nulla facere dolore eveniet ut consequuntur.,89.79,Beverage,Bakery,True,True
130,6,Chef Special Deluxe,Soluta perferendis consequatur porro quae vel reiciendis id.,85.56,Soup,Bakery,False,True
131,6,Special Dish Royal,Corporis incidunt quisquam neque rem dolores et consectetur.,68.34,Beverage,Bakery,True,False
132,6,House Special Special,Molestias vero eligendi ipsa inventore quo nemo hic ipsum officia.,131.15,Appetizer,Bakery,False,True
133,6,Special Dish Deluxe,Vero autem laudantium soluta eius debitis error inventore totam alias rerum deserunt.,107.58,Dessert,Bakery,False,True
134,6,Chef Special Classic,Ab similique similique aliquam quia eligendi distinctio accusamus vero eum in id corporis.,65.08,Beverage,Bakery,True,True
135,6,Chef Special Classic,Ipsa quam vero exercitationem temporibus amet in asperiores vero.,151.54,Appetizer,Bakery,False,True
136,6,Chef Special,Veniam perferendis deserunt veritatis maiores nisi facilis.,247.28,Main Course,Bakery,True,True
137,6,Special Dish Classic,Totam neque tempore voluptatum exercitationem omnis architecto unde quidem.,117.11,Appetizer,Bakery,True,True
138,6,House Special Royal,Minus at harum tempora ab reprehenderit numquam ea reiciendis qui harum quam.,183.96,Main Course,Bakery,False,True
139,6,Special Dish,Tenetur accusantium vel ipsam sit minima.,195.14,Salad,Bakery,True,True
140,6,Special Dish Deluxe,Quidem magni voluptatem eveniet dicta dicta voluptatibus odio optio ab.,147.86,Dessert,Bakery,False,True
141,6,House Special Special,Tempore impedit tenetur alias saepe odio praesentium illum vero suscipit.,82.77,Soup,Bakery,True,True
142,6,Chef Special Special,Vitae autem aut maiores maxime fuga voluptas eius maxime.,59.24,Appetizer,Bakery,True,True
143,6,Chef Special Classic,Dolor adipisci blanditiis consequuntur labore alias tempora itaque commodi.,118.95,Salad,Bakery,True,False
144,6,Chef Special Royal,Autem voluptatibus ducimus ducimus fuga fuga exercitationem dolores accusamus doloremque veritatis nemo.,528.8,Main Course,Bakery,False,True
145,6,Special Dish Royal,Assumenda quo voluptatem rerum necessitatibus quam earum minus cupiditate soluta ab.,187.82,Salad,Bakery,True,True
146,6,House Special,Ad aspernatur voluptatibus quaerat ex quas quas.,242.93,Appetizer,Bakery,False,True
147,6,Special Dish Deluxe,Ab perferendis sint atque maiores eius asperiores animi alias similique praesentium rem non.,122.94,Soup,Bakery,True,True
148,6,House Special Deluxe,Exercitationem incidunt sequi nesciunt sapiente expedita accusantium cum vitae velit sapiente ad.,142.36,Salad,Bakery,True,True
149,6,House Special Classic,Ut accusamus amet saepe adipisci eum harum molestias eum facere.,163.05,Soup,Bakery,False,True
150,6,Special Dish Classic,Deleniti consectetur in iste sapiente vitae omnis ipsa explicabo.,237.21,Salad,Bakery,False,True
151,6,House Special Special,Aut asperiores praesentium soluta nemo explicabo molestias dolores quam quas deleniti qui.,138.28,Soup,Bakery,True,True
152,6,House Special,Eaque saepe consequatur occaecati pariatur veniam hic consequatur officiis atque quas.,185.88,Main Course,Bakery,True,True
153,6,Special Dish Classic,Magnam facere eius cupiditate recusandae rerum excepturi iste saepe.,180.63,Appetizer,Bakery,False,False
154,6,Special Dish Royal,Necessitatibus illum numquam repellat earum nihil.,114.99,Beverage,Bakery,False,True
155,6,House Special Classic,Iste quis debitis hic et repellendus sit dolor.,236.07,Main Course,Bakery,False,True
156,6,House Special Classic,Eos sit delectus modi repellendus corrupti enim totam quisquam.,193.4,Salad,Bakery,False,True
157,6,Special Dish,Id vitae rem eos occaecati eligendi.,146.94,Beverage,Bakery,False,True
158,6,Special Dish Classic,Repellat dignissimos reiciendis nisi saepe recusandae perspiciatis non tenetur molestiae vel.,138.48,Beverage,Bakery,False,True
159,6,Chef Special Deluxe,Itaque a molestiae ex laudantium aspernatur blanditiis facilis quibusdam culpa labore.,70.1,Bread,Bakery,True,False
160,6,Special Dish Classic,Rem quo minima deserunt modi nemo labore ex occaecati voluptas hic.,172.81,Soup,Bakery,True,True
161,6,Special Dish Classic,Labore cupiditate eveniet est sit aut voluptatibus officia tempora sapiente earum.,136.51,Dessert,Bakery,False,True
162,7,Chef Special Deluxe,Explicabo reprehenderit saepe nostrum incidunt nisi.,163.52,Appetizer,Bakery,True,True
163,7,House Special Classic,Et praesentium ratione asperiores placeat cum in quae delectus totam.,146.59,Appetizer,Bakery,False,True
164,7,House Special Special,Dolores quod corporis quas ad eaque nulla consequuntur doloremque officiis voluptate delectus quia.,332.48,Main Course,Bakery,True,True
165,7,House Special,Placeat dolorem consequatur ipsum quis sit error animi est distinctio eos reiciendis ipsa.,98.45,Dessert,Bakery,True,True
166,7,Chef Special Special,Culpa ratione est harum dolor nihil inventore modi nam.,36.37,Beverage,Bakery,True,False
167,7,Chef Special Deluxe,Nisi animi architecto dignissimos perspiciatis repellendus doloremque modi.,189.48,Dessert,Bakery,False,True
168,7,Special Dish Deluxe,Deleniti doloremque repellat tenetur impedit voluptatem dignissimos in qui quae sapiente.,143.31,Beverage,Bakery,True,False
169,7,Special Dish Special,Quaerat pariatur adipisci laudantium explicabo quae quae.,77.52,Beverage,Bakery,True,True
170,7,House Special Royal,Nemo quas molestias eius expedita odio tenetur voluptatum.,98.59,Beverage,Bakery,True,True
171,7,Special Dish,Nesciunt eum consequuntur alias voluptatibus quod nulla tempore perferendis quidem iure illum facere.,139.88,Salad,Bakery,True,True
172,7,Chef Special,Tempora est saepe quo alias fugiat neque architecto natus libero.,198.21,Dessert,Bakery,False,True
173,7,House Special Special,Nihil aliquam culpa culpa omnis corporis.,95.79,Soup,Bakery,True,False
174,7,House Special,Nesciunt assumenda assumenda eos laborum impedit earum occaecati.,162.59,Salad,Bakery,False,True
175,7,House Special Deluxe,Quia quas repellendus tempore molestiae aperiam optio atque dolorum quasi modi.,147.95,Beverage,Bakery,True,True
176,7,Special Dish Special,Corporis tenetur amet nisi labore pariatur esse corporis nobis quibusdam culpa.,136.26,Appetizer,Bakery,True,False
177,7,House Special Special,Adipisci neque voluptatem veritatis cumque numquam.,128.32,Dessert,Bakery,True,True
178,7,Special Dish Special,Doloribus unde iusto repudiandae consequuntur itaque.,190.77,Salad,Bakery,True,True
179,7,Chef Special Deluxe,Voluptate quisquam id quos libero blanditiis.,136.46,Appetizer,Bakery,False,True
180,7,Chef Special Classic,Sed harum doloremque sint occaecati doloribus iusto.,110.22,Appetizer,Bakery,False,True
181,7,Special Dish Classic,Nihil facilis ut autem repellat nisi nemo natus distinctio optio adipisci temporibus dolorem.,68.17,Beverage,Bakery,True,False
182,7,Special Dish Special,Hic dolor animi voluptates quaerat explicabo placeat possimus quaerat sit dolorum.,94.99,Dessert,Bakery,False,True
183,7,Chef Special Deluxe,Quam laudantium corporis occaecati iusto esse ullam laboriosam reiciendis ex sequi ratione.,480.62,Main Course,Bakery,False,True
184,7,House Special,Voluptatem illum quam beatae rem illo officia.,102.46,Soup,Bakery,True,True
185,7,Chef Special,Laborum at libero sunt quia perspiciatis veritatis nostrum ratione sunt suscipit ipsa earum.,330.11,Main Course,Bakery,True,True
186,7,Special Dish,Molestias laboriosam placeat in dolorem a molestias.,183.82,Dessert,Bakery,False,True
187,7,House Special,Laudantium excepturi porro provident reiciendis quam rem velit est quasi nam id debitis.,61.63,Bread,Bakery,False,True
188,7,Special Dish,Eligendi aspernatur eum ducimus occaecati voluptate illo modi deserunt nam ducimus quam.,194.37,Main Course,Bakery,True,True
189,7,House Special Special,Enim dolores ratione eos dolore ut architecto explicabo quaerat aut similique.,105.45,Appetizer,Bakery,True,True
190,7,Chef Special Special,Pariatur aperiam velit voluptatum suscipit asperiores.,85.05,Soup,Bakery,True,True
191,7,Special Dish Special,Illum dicta possimus pariatur nisi aut consequatur.,98.3,Dessert,Bakery,False,True
192,7,Chef Special,Modi porro alias maxime consequatur facilis blanditiis suscipit dolorum molestias.,157.75,Appetizer,Bakery,True,False
193,7,House Special Special,Cum dolorem adipisci libero accusantium quod quod reprehenderit iusto odio dolorum delectus commodi rem.,85.5,Soup,Bakery,True,True
194,7,House Special Deluxe,Minus sint voluptatibus fuga aperiam dolorem fugit.,129.95,Appetizer,Bakery,True,True
195,7,Special Dish Classic,Aliquid doloremque dolorem nemo dolore eum dolorem quaerat.,89.58,Soup,Bakery,True,True
196,7,Special Dish Classic,Iusto molestias dignissimos voluptatum iure praesentium optio quidem doloremque consectetur aspernatur ipsum suscipit.,242.08,Salad,Bakery,False,True
197,7,House Special Deluxe,Aperiam assumenda quisquam quisquam doloribus vitae saepe.,160.4,Soup,Bakery,False,True
198,7,Special Dish Classic,Maxime id ipsa suscipit ut illum magni tenetur.,122.78,Salad,Bakery,False,True
199,7,House Special Deluxe,Libero quia cupiditate in velit minus quae voluptas quas accusantium voluptas quae.,39.44,Beverage,Bakery,True,True
200,7,House Special Deluxe,Ipsum similique minima blanditiis velit beatae qui quaerat facere quam.,93.16,Soup,Bakery,True,True
201,7,Special Dish Royal,Ratione cumque laborum deserunt non doloribus.,157.07,Soup,Bakery,True,True
202,8,Idli Classic,Consequatur voluptatibus a sapiente odio unde facere accusamus culpa sint natus et.,170.34,Soup,South Indian,False,False
203,8,Idli Classic,Quis autem aspernatur animi corrupti nam dolores deserunt magni officia.,191.69,Salad,South Indian,False,False
204,8,Sambar Royal,Incidunt ullam dolorum sunt ea voluptatem incidunt facilis magnam nam adipisci placeat ut.,72.02,Appetizer,South Indian,False,False
205,8,Vada Royal,Sit nesciunt at eaque necessitatibus reprehenderit nisi consequatur.,193.93,Dessert,South Indian,False,True
206,8,Idli Special,Saepe tempore quia ipsam quaerat veniam accusantium tempore quos sunt ex velit.,175.88,Soup,South Indian,True,True
207,8,Idli Deluxe,Animi natus culpa adipisci sequi numquam optio nam eum numquam.,130.79,Beverage,South Indian,False,True
208,8,Uttapam Special,Atque nesciunt incidunt magnam voluptate a quo veniam delectus quibusdam natus occaecati eligendi.,226.81,Salad,South Indian,True,True
209,8,Sambar Classic,Mollitia animi provident asperiores consequuntur facilis veniam iste beatae illo expedita eveniet vel.,233.77,Salad,South Indian,False,True
210,8,Idli Deluxe,Maxime at possimus non quidem vitae a eius tempore exercitationem porro dolorum ex.,184.88,Dessert,South Indian,True,True
211,8,Dosa Classic,Quisquam maiores adipisci nihil praesentium vitae saepe suscipit dolorem sit modi in.,34.98,Beverage,South Indian,True,True
212,8,Sambar,Accusamus aspernatur in eligendi ratione asperiores dolorem soluta ad.,159.14,Dessert,South Indian,False,True
213,8,Uttapam,Vel autem perferendis incidunt dolore assumenda.,166.81,Salad,South Indian,True,True
214,8,Coconut Chutney Special,Fuga maxime quis deserunt minima nisi distinctio tempore.,461.73,Main Course,South Indian,False,True
215,8,Dosa,Labore cupiditate quae temporibus nesciunt consectetur ullam est libero beatae molestiae.,22.28,Bread,South Indian,True,True
216,8,Uttapam Deluxe,Quaerat saepe quo quod ipsam est aperiam possimus explicabo.,181.95,Dessert,South Indian,True,True
217,8,Uttapam,Dolores placeat aut ex odit aspernatur saepe deleniti non dolorum ipsam voluptates non.,386.0,Main Course,South Indian,True,True
218,8,Idli Deluxe,Cumque quae porro dolore sapiente odit vero nam minus dignissimos voluptate officiis.,36.86,Bread,South Indian,False,True
219,8,Uttapam Special,Labore dolor omnis aperiam magnam dolorem ab dolores quisquam.,160.97,Appetizer,South Indian,True,True
220,8,Uttapam,Nemo ipsam aliquam nostrum repellendus illo.,64.03,Bread,South Indian,True,True
221,8,Coconut Chutney Classic,Modi ipsam fuga repudiandae id sed ipsa provident nulla magnam architecto quidem.,173.26,Soup,South Indian,True,True
